doc_id,series,series_short,year,is_draft,n_words,n_sentences,words_per_sentence,sentence_len_sd,sentence_len_p90,letters_per_word,syllables_per_word,long_words_pct,polysyllable_pct,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,smog,coleman_liau,ari,mattr,types_per_10k,passive_per_100_sent,questions_per_100_sent,first_plural_per_1k,committee_per_1k,modals_per_1k,deontic_index,must_per_1k,should_per_1k,will_per_1k,may_might_per_1k,hedges_per_1k,boosters_per_1k,nominalisation_pct,acronyms_per_1k,numerals_per_1k,ref_markers_per_1k
SP-2019,strategic-plan,SP,2019,False,25108,1639,15.319097010372179,13.549315890944998,34.0,5.768121714194679,1.9010673888800382,40.39350007965589,25.167277361797037,30.45581543522104,12.817043022829605,16.194549748867686,14.346175335884531,16.184326907758486,13.39740177904303,0.47603275224511354,1875.5,8.175716900549116,0.8541793776693105,0.47793531942010514,0.5575912059901227,7.08937390473156,0.16292134831460675,0.07965588657001753,0.39827943285008766,1.6329456746853592,1.871913334395412,4.699697307631034,1.194838298550263,8.240401465668313,32.061494344432056,18.958101003664172,0.0
SOA-2019,summary-of-advances,SOA,2019,False,13924,784,17.760204081632654,12.203781948064366,35.0,5.594082160298765,1.8216029876472277,37.805228382648664,22.45762711864407,34.70078010218742,12.831394846074023,16.08713248011069,14.538185770779357,15.426555587474866,13.798229015823509,0.46167508379888267,1749.0,16.836734693877553,4.464285714285714,0.07181844297615628,0.21545532892846883,5.817293881068658,0.04938271604938271,0.07181844297615628,0.0,0.07181844297615628,2.9445561620224074,8.761850043091066,0.8618213157138753,6.75093363975869,59.39385234128124,36.55558747486354,0.0
PA-2020,portfolio-analysis,PA,2020,False,27446,2192,12.520985401459853,14.581933043727698,31.0,5.786198353129782,1.8775413539313561,42.993514537637544,21.616993368796912,35.28620127492553,11.448172282959348,13.655191508102707,12.527671183292107,15.858815127887485,12.083486943971202,0.39682888633243035,1208.0,9.854014598540147,1.0036496350364963,0.18217590905778622,0.5465277271733586,3.8256940902135104,0.01904761904761905,0.0,0.0,0.8744443634773738,1.6031479997085187,2.8419441813014648,0.6558332726080304,10.628142534431246,31.152080448881442,122.82299788675947,0.0
SOA-2020,summary-of-advances,SOA,2020,False,9609,758,12.676781002638522,11.712689110873594,30.0,5.717140181080238,1.9003018003954626,38.53678842751587,25.507336871682796,33.20253496886576,11.777505835695482,15.273647149728527,13.401738104594571,15.481806639608696,11.83612075420718,0.4629113062568606,,10.422163588390502,0.0,0.0,0.5203455094182537,6.036007909251743,0.15517241379310345,0.0,0.416276407534603,0.0,2.913934852742221,8.949942761993965,1.665105630138412,8.523259444270996,42.460193568529505,30.70038505567697,0.0
RTC-2021,report-to-congress,RTC,2021,False,36964,1530,24.159477124183006,18.45908897371896,45.0,5.797938534790607,1.9027432096093497,40.2202142625257,24.442701006384592,21.341055186003274,16.2845659518217,19.44087125222704,17.01145988513452,17.066686505789416,17.958029060955262,0.4593856026326615,1871.3333333333333,14.313725490196079,0.06535947712418301,0.10821339681852614,0.10821339681852614,4.76138946001515,0.10795454545454546,0.13526674602315766,0.10821339681852614,1.4879342062547345,1.2985607618223136,3.4628286981928365,1.1903473650037875,8.505572989936153,52.61876420300833,32.65339248999026,0.05410669840926307
SOA-2021,summary-of-advances,SOA,2021,False,10296,665,15.482706766917293,14.647848831148545,32.0,5.671425796425797,1.8706293706293706,37.71367521367522,23.698523698523697,32.864807876334226,12.521682212524318,15.672492186176397,14.071914224773018,15.63617327117327,13.023768884624147,0.4731430029600898,1912.0,10.676691729323307,0.45112781954887216,0.0,0.19425019425019424,7.381507381507381,0.11842105263157894,0.0,0.3885003885003885,0.0,3.8850038850038846,12.529137529137529,1.2626262626262625,8.78010878010878,24.766899766899765,24.087024087024087,0.0
PA-2022,portfolio-analysis,PA,2022,False,23323,1719,13.567771960442117,14.194482589720655,31.0,5.782618016550186,1.8812331175234747,42.27157741285426,21.326587488745016,33.911389717665315,11.899981851349427,13.957743779674855,12.846719454033128,16.020153496548467,12.590016838172438,0.39172932001402033,1332.0,12.158231529959279,0.9889470622454916,0.2143806542897569,0.4287613085795138,3.515842730352013,0.024390243902439025,0.0,0.0,0.3858851777215624,1.8007974960339577,2.7011962440509367,0.7288942245851734,11.186382540839515,40.646572053337906,112.37833897869055,0.0
RTC-2022,report-to-congress,RTC,2022,False,39868,1508,26.43766578249337,24.189503014528643,50.0,5.833350055182101,1.9142169158222133,40.70934082472158,24.596167352262466,18.058018152209996,17.308449261874532,20.413533253902337,17.696773844283506,17.380483595866355,19.26391165115438,0.47257695140846856,1877.3333333333333,20.358090185676392,0.33156498673740054,0.7274004213905889,0.07524831945419885,9.78228152904585,0.08717948717948718,0.4514899167251931,0.07524831945419885,2.0567873984147687,2.6086084077455602,5.668706732216314,1.379552523326979,8.003912912611618,32.8082672820307,24.480786595766027,0.050165546302799235
SOA-2022,summary-of-advances,SOA,2022,False,11597,825,14.056969696969697,12.006075352200572,30.600000000000023,5.89023023195654,1.939035957575235,40.760541519358455,26.73967405363456,28.524733746710893,12.772842481205956,16.318657500241702,14.204740345124314,16.728836768129685,13.341469241000155,0.4757860875833484,1839.0,12.121212121212121,0.24242424242424243,0.25868759161852206,0.34491678882469606,9.657670087091489,0.10714285714285714,0.08622919720617402,0.6036043804432181,0.6036043804432181,5.087522635164267,11.985858411658189,1.6383547469173063,8.709148917823574,28.5418642752436,31.646115374665865,0.0
RTC-2023,report-to-congress,RTC,2023,False,64945,2933,22.142857142857142,16.29939729408443,43.0,5.787604896450843,1.908507198398645,39.693586881207175,24.540765262914775,22.900291015474664,15.566099226818299,18.673448962308765,16.446082086247678,16.894342597582575,16.901047633712047,0.4477052105638829,1792.0,14.660756904193658,0.4432321854756222,0.09238586496266071,0.35414581569019943,4.788667333897914,0.1189710610932476,0.15397644160443452,0.09238586496266071,1.2472091769959197,1.2934021094772499,3.2643005620140118,0.8160751405035029,8.67811224882593,47.93286627146047,42.42050966202171,0.6467010547386249
SP-2023,strategic-plan,SP,2023,False,60494,2127,28.440996708979785,25.142418458945595,56.0,5.898287433464476,1.9462921942672,40.61229212814494,26.43072040202334,13.311068705380421,18.468236608855076,21.94868684440125,18.791987987173073,17.841178959896848,20.57143216610757,0.48567277273106096,1815.1666666666667,33.38034790785144,0.6582040432534085,0.49591695044136613,0.36367243032366847,15.29077263860879,0.1945945945945946,0.7438754256620492,1.3555063312064008,2.9920322676629088,5.091414024531359,9.736502793665489,2.843257182530499,9.058749628062287,11.042417429827752,24.5148279168182,0.0
SOA-2023,summary-of-advances,SOA,2023,False,11133,784,14.200255102040817,11.679912545810438,30.0,5.788736189706278,1.903889338004132,39.37842450372766,25.114524386957694,31.352703076279028,12.413993678244676,15.725911795599405,13.917461437215568,16.153299200574864,12.935075004536976,0.48339176227195785,1762.0,11.479591836734693,0.0,0.17964609718853858,0.35929219437707716,10.329650588340968,0.043478260869565216,0.0,0.17964609718853858,0.08982304859426929,3.952214138147849,9.251774005209736,0.7185843887541543,8.506242701877301,29.731429084703134,28.294260307194826,0.08982304859426929
SP-2026-DRAFT,strategic-plan,SP,2026,True,81788,4263,19.185550082101805,14.751457422998023,38.0,6.62105687875972,2.2079033599060987,49.40700347239204,35.42573482662493,0.5730424186107541,17.945624178911668,21.844513963490698,18.022419191896883,21.588986648408085,19.347952940009186,0.5512440059540651,1932.5,18.367346938775512,0.30494956603330986,0.08558712769599452,0.44016237100797184,17.141879004254903,0.6597717546362339,0.5257494987039664,10.527216706607327,0.23230791803198514,2.5064801682398397,4.756198953391696,2.628747493519832,11.767007384946448,28.91622242871815,12.65466816647919,0.281214848143982
