term,target_count,reference_count,target_per10k,reference_per10k,log_odds,z,g2
clinical research,16,23,2.9012838180895044,1.557927820526715,0.6129990880128595,1.8892343787416166,3.465354004841844
nih fda,38,0,6.890549067962573,0.0,7.403629530556005,1.83313939773205,98.95968870834389
acl cms,34,0,6.165228113440198,0.0,7.266594363714181,1.8225141170709767,88.54287937062347
treatment autism,5,4,0.9066511931529703,0.2709439687872548,1.193817661350625,1.7913882121526485,3.19489494690456
language communication,5,4,0.9066511931529703,0.2709439687872548,1.1950841936161574,1.788070988521149,3.19489494690456
later life,5,4,0.9066511931529703,0.2709439687872548,1.195163837849277,1.7878634924561352,3.19489494690456
request information,5,4,0.9066511931529703,0.2709439687872548,1.1955629234548208,1.78682571249136,3.19489494690456
individuals require,5,4,0.9066511931529703,0.2709439687872548,1.1956429139036118,1.7866180965472034,3.19489494690456
data access,5,4,0.9066511931529703,0.2709439687872548,1.1959634555598946,1.7857874328226255,3.19489494690456
lead supporting,36,0,6.5278885907013855,0.0,7.403593851029818,1.784238270753691,93.75128403948368
performance indicators,34,0,6.165228113440198,0.0,7.346494690671081,1.7703938628881484,88.54287937062347
communication access,35,0,6.346558352070791,0.0,7.403576011744679,1.7592784212374442,91.14708170505358
clinically indicated,34,0,6.165228113440198,0.0,7.403558172778163,1.7339595648817479,88.54287937062347
cms hrsa,29,0,5.2585769202872275,0.0,7.187635342731733,1.7318571233809066,75.52186769847296
health care,26,46,4.714586204395445,3.11585564105343,0.41734516354585693,1.7248600098785323,2.7260720263020044
therapeutic domain,33,0,5.983897874809602,0.0,7.403540334130258,1.7082657388227844,85.93867703619337
accountable lead,33,0,5.983897874809602,0.0,7.403540334130258,1.7082657388227844,85.93867703619337
approximately million,6,6,1.087981431783564,0.4064159531808822,0.9735497295929374,1.6968762239497417,2.79846915340073
precision medicine,6,6,1.087981431783564,0.4064159531808822,0.9735491027328749,1.688959123983728,2.79846915340073
supporting partners,32,0,5.802567636179009,0.0,7.403522495800953,1.6821797611368265,83.33447470176327
products accountable,32,0,5.802567636179009,0.0,7.403522495800953,1.6821797611368265,83.33447470176327
phase consolidated,32,0,5.802567636179009,0.0,7.403522495800953,1.6821797611368265,83.33447470176327
context use,31,0,5.621237397548415,0.0,7.3718080181919134,1.6749303655481764,80.73027236733317
safety monitoring,31,0,5.621237397548415,0.0,7.4035046577902355,1.6556830963825075,80.73027236733317
families support,7,8,1.2693116704141583,0.5418879375745096,0.8417039238445518,1.6367217917439019,2.5801003686079147
individuals including,7,8,1.2693116704141583,0.5418879375745096,0.8407398063709888,1.6288716024685774,2.5801003686079147
priority action,30,0,5.439907158917821,0.0,7.403486820098095,1.628755701452825,78.12607003290307
nih ahrq,29,0,5.2585769202872275,0.0,7.3696230786844295,1.6212607824884433,75.52186769847296
hrsa ahrq,29,0,5.2585769202872275,0.0,7.4034689827245215,1.6013758480935638,75.52186769847296
federal research,23,0,4.170595488503663,0.0,7.138149810713278,1.5699980055955074,59.896653691892354
office secretary,9,0,1.6319721476753464,0.0,5.800107527835465,1.5578222480935617,23.43782100987092
programs support,11,16,1.9946326249365345,1.0837758751490192,0.603503068923736,1.550864592464813,2.304336641757982
dod cdmrp,27,0,4.89591644302604,0.0,7.403433308933022,1.5451621623183218,70.31346302961276
motor planning,26,0,4.714586204395445,0.0,7.403415472515075,1.516274426668522,67.70926069518265
lend dbp,7,0,1.2693116704141583,0.0,5.529294358981359,1.4996432568522933,18.229416341010715
autism activities,6,7,1.087981431783564,0.4741519453776959,0.8217415662833503,1.4884991575167381,2.1239718237269765
priority therapeutic,25,0,4.533255965764851,0.0,7.403397636415647,1.4868258198080864,65.10505836075255
