term,target_count,reference_count,target_per10k,reference_per10k,log_odds,z,g2
frederick,0,5,0.0,0.3386616093199675,-3.8141523353342333,-0.7785308463076749,3.173891514529903
dimensions,0,5,0.0,0.3386616093199675,-3.8141523353342333,-0.7785308463076749,3.173891514529903
founder,0,5,0.0,0.3386616093199675,-3.8141523353342333,-0.7785308463076749,3.173891514529903
preparing,0,5,0.0,0.3386616093199675,-3.8141523353342333,-0.7785308463076749,3.173891514529903
school-based,2,10,0.3626539012493427,0.677323218639935,-0.5873641030728134,-0.7785872882001548,0.7428236820522685
extent,6,23,1.087961703748028,1.5578434028718504,-0.3541646621011072,-0.7797598644339426,0.6561193884509327
forth,0,7,0.0,0.4741262530479545,-4.460304823375418,-0.7798087994135323,4.4434481203418645
synapses,0,7,0.0,0.4741262530479545,-4.460304823375418,-0.7798087994135323,4.4434481203418645
unemployment,0,7,0.0,0.4741262530479545,-4.460304823375418,-0.7798087994135323,4.4434481203418645
highest,5,20,0.9066347531233567,1.35464643727987,-0.3841903073728723,-0.780994311680044,0.6967190456696577
summarizes,0,6,0.0,0.406393931183961,-4.1610748465238725,-0.7822302518990332,3.8086698174358835
peer-mediated,0,6,0.0,0.406393931183961,-4.1610748465238725,-0.7822302518990332,3.8086698174358835
felt,0,6,0.0,0.406393931183961,-4.1610748465238725,-0.7822302518990332,3.8086698174358835
adi-r,0,11,0.0,0.7450555405039285,-5.215376815494075,-0.7836054427432407,6.982561331965787
argue,0,11,0.0,0.7450555405039285,-5.215376815494075,-0.7836054427432407,6.982561331965787
distribute,0,9,0.0,0.6095908967759415,-4.8819752864604915,-0.7838399598980997,5.713004726153825
collins,0,5,0.0,0.3386616093199675,-3.77673240419295,-0.7854540926808068,3.173891514529903
guid,0,13,0.0,0.8805201842319155,-5.456112483341396,-0.7901287979969794,8.252117937777747
ameliorate,0,7,0.0,0.4741262530479545,-4.409241304381636,-0.7908173741586303,4.4434481203418645
evidencebased,0,7,0.0,0.4741262530479545,-4.409241304381636,-0.7908173741586303,4.4434481203418645
amaral,0,7,0.0,0.4741262530479545,-4.409241304381636,-0.7908173741586303,4.4434481203418645
rigor,0,7,0.0,0.4741262530479545,-4.409241304381636,-0.7908173741586303,4.4434481203418645
disproportionately,0,7,0.0,0.4741262530479545,-4.409241304381636,-0.7908173741586303,4.4434481203418645
pre-service,0,7,0.0,0.4741262530479545,-4.409241304381636,-0.7908173741586303,4.4434481203418645
utilizing,0,7,0.0,0.4741262530479545,-4.409241304381636,-0.7908173741586303,4.4434481203418645
bipolar,0,7,0.0,0.4741262530479545,-4.409241304381636,-0.7908173741586303,4.4434481203418645
laid,0,8,0.0,0.541858574911948,-4.647162990063308,-0.7911009539135181,5.078226423247845
one-third,0,8,0.0,0.541858574911948,-4.647162990063308,-0.7911009539135181,5.078226423247845
personalization,0,8,0.0,0.541858574911948,-4.647162990063308,-0.7911009539135181,5.078226423247845
identity,0,8,0.0,0.541858574911948,-4.647162990063308,-0.7911009539135181,5.078226423247845
commission,0,8,0.0,0.541858574911948,-4.647162990063308,-0.7911009539135181,5.078226423247845
perceived,0,8,0.0,0.541858574911948,-4.647162990063308,-0.7911009539135181,5.078226423247845
cord,0,6,0.0,0.406393931183961,-4.116890743035373,-0.7912132834984311,3.8086698174358835
bases,0,12,0.0,0.812787862367922,-5.302223885712548,-0.796721996320553,7.617339634871767
unmarked,0,12,0.0,0.812787862367922,-5.302223885712548,-0.796721996320553,7.617339634871767
robertson,0,9,0.0,0.6095908967759415,-4.82152964908356,-0.7978890287892202,5.713004726153825
conception,0,9,0.0,0.6095908967759415,-4.82152964908356,-0.7978890287892202,5.713004726153825
school-aged,0,5,0.0,0.3386616093199675,-3.705913926061477,-0.7985101156827786,3.173891514529903
nonprofit,0,5,0.0,0.3386616093199675,-3.705913926061477,-0.7985101156827786,3.173891514529903
koroshetz,0,5,0.0,0.3386616093199675,-3.705913926061477,-0.7985101156827786,3.173891514529903
notably,0,5,0.0,0.3386616093199675,-3.705913926061477,-0.7985101156827786,3.173891514529903
eye,5,20,0.9066347531233567,1.35464643727987,-0.3956193161475561,-0.7990056983721823,0.6967190456696577
school,57,173,10.335636185606267,11.717691682470875,-0.12097207827341094,-0.7999925874272722,0.6894260022726204
sufficiently,0,11,0.0,0.7450555405039285,-5.146530504213798,-0.8003431287416126,6.982561331965787
ganz,0,11,0.0,0.7450555405039285,-5.146530504213798,-0.8003431287416126,6.982561331965787
ndbis,0,10,0.0,0.677323218639935,-4.987056059797553,-0.8008255894463949,6.347783029059806
low-resource,0,7,0.0,0.4741262530479545,-4.360680862813142,-0.8013308609958216,4.4434481203418645
caring,0,7,0.0,0.4741262530479545,-4.360680862813142,-0.8013308609958216,4.4434481203418645
scalable,0,7,0.0,0.4741262530479545,-4.360680862813142,-0.8013308609958216,4.4434481203418645
sacramento,0,7,0.0,0.4741262530479545,-4.360680862813142,-0.8013308609958216,4.4434481203418645
subsequently,2,10,0.3626539012493427,0.677323218639935,-0.6149571389205217,-0.8030012352474841,0.7428236820522685
dramatically,0,8,0.0,0.541858574911948,-4.593296973192679,-0.8032776908379783,5.078226423247845
validating,0,8,0.0,0.541858574911948,-4.593296973192679,-0.8032776908379783,5.078226423247845
preterm,0,8,0.0,0.541858574911948,-4.593296973192679,-0.8032776908379783,5.078226423247845
reaching,2,10,0.3626539012493427,0.677323218639935,-0.616210752200594,-0.8040901805991532,0.7428236820522685
fever,5,20,0.9066347531233567,1.35464643727987,-0.3989255710916897,-0.8041691789609314,0.6967190456696577
mandated,0,5,0.0,0.3386616093199675,-3.6723324635262973,-0.8046749922722585,3.173891514529903
replicate,2,10,0.3626539012493427,0.677323218639935,-0.6180956396372412,-0.8057242029965564,0.7428236820522685
reflecting,2,10,0.3626539012493427,0.677323218639935,-0.6180956396372412,-0.8057242029965564,0.7428236820522685
obtaining,2,10,0.3626539012493427,0.677323218639935,-0.6180956396372412,-0.8057242029965564,0.7428236820522685
leveraging,2,10,0.3626539012493427,0.677323218639935,-0.6199859114924298,-0.8073589475888118,0.7428236820522685
soon,0,6,0.0,0.406393931183961,-4.034044237403929,-0.8080835202550339,3.8086698174358835
improvement,32,101,5.802462419989483,6.840964508263343,-0.16288946408836846,-0.809442827677269,0.6773373201748489
maps,2,10,0.3626539012493427,0.677323218639935,-0.6225146955527396,-0.809539724448131,0.7428236820522685
pairs,0,5,0.0,0.3386616093199675,-3.6398626274080765,-0.8106167633569493,3.173891514529903
walter,0,5,0.0,0.3386616093199675,-3.6398626274080765,-0.8106167633569493,3.173891514529903
self-report,2,10,0.3626539012493427,0.677323218639935,-0.623782714636814,-0.8106305894139617,0.7428236820522685
dti,0,9,0.0,0.6095908967759415,-4.764550187647011,-0.8112463005113859,5.713004726153825
pronounced,0,9,0.0,0.6095908967759415,-4.764550187647011,-0.8112463005113859,5.713004726153825
tms,0,9,0.0,0.6095908967759415,-4.764550187647011,-0.8112463005113859,5.713004726153825
