doc_id,series,series_short,year,variant,is_draft,file_name,path,source_url,bytes,backend,error,n_pages,n_pages_kept,ref_cut_page,ref_cut_status,ref_pages_dropped,running_lines_removed,words_raw,n_words,pdf_title,in_analysis
SP-2017,strategic-plan,SP,2017,full,False,strategic_plan_2017.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/strategic-plan/2017/strategic_plan_2017.pdf,https://iacc.hhs.gov/publications/strategic-plan/2017/strategic_plan_2017.pdf,4695682,pymupdf (cached),,196,122,123.0,verified,74,114,79096,48337,2016-2017 IACC Strategic Plan for Autism Spectrum Disorder,True
SP-2019,strategic-plan,SP,2019,full,False,strategic_plan_2019.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/strategic-plan/2019/strategic_plan_2019.pdf,https://iacc.hhs.gov/publications/strategic-plan/2019/strategic_plan_2019.pdf?version=3,5741543,pymupdf (cached),,77,76,,no_heading,1,69,25812,25108,IACC Strategic Plan for Autism Spectrum Disorder 2018-2019,True
SP-2023-ER,strategic-plan,SP,2023,easy_read,False,strategic_plan_2023_easy_read.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/strategic-plan/2023/strategic_plan_2023_easy_read.pdf,https://iacc.hhs.gov/publications/strategic-plan/2023/strategic_plan_2023_easy_read.pdf?ver=5,1261831,pymupdf (cached),,16,16,,no_heading,0,48,4354,4030,"2021-2023 IACC  Strategic Plan for Autism Research, Service, and Policy",False
SP-2023,strategic-plan,SP,2023,full,False,strategic_plan_2023.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/strategic-plan/2023/strategic_plan_2023.pdf,https://iacc.hhs.gov/publications/strategic-plan/2023/strategic_plan_2023.pdf?ver=8,6897814,pymupdf (cached),,244,153,154.0,verified,91,143,101044,60494,"2021-2023 IACC Strategic Plan for Autism Research, Services, and Policy",True
SP-2026-DRAFT,strategic-plan,SP,2026,draft,True,IACC Strategic Plan Working Draft July 17.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC Strategic Plan Working Draft July 17.pdf,,1579159,pymupdf (cached),,336,271,272.0,verified,65,255,108018,81788,,True
SOA-2007,summary-of-advances,SOA,2007,full,False,summary_of_advances_2007.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/summary-of-advances/2007/summary_of_advances_2007.pdf,https://iacc.hhs.gov/publications/summary-of-advances/2007/summary_of_advances_2007.pdf,165809,pymupdf (cached),,20,13,,no_heading,7,24,7612,4367,Summary of Advances in ASD Final Approved by IACC,True
SOA-2008,summary-of-advances,SOA,2008,full,False,summary_of_advances_2008.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/summary-of-advances/2008/summary_of_advances_2008.pdf,https://iacc.hhs.gov/publications/summary-of-advances/2008/summary_of_advances_2008.pdf,277782,pymupdf (cached),,27,27,,no_heading,0,58,10123,9818,IACC 2008 Summary of Advances in ASD Research,True
SOA-2009,summary-of-advances,SOA,2009,full,False,summary_of_advances_2009.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/summary-of-advances/2009/summary_of_advances_2009.pdf,https://iacc.hhs.gov/publications/summary-of-advances/2009/summary_of_advances_2009.pdf,839994,pymupdf (cached),,23,17,18.0,verified,6,24,8322,5940,IACC 2009 Summary of Advances in ASD Research,True
SOA-2010,summary-of-advances,SOA,2010,full,False,summary_of_advances_2010.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/summary-of-advances/2010/summary_of_advances_2010.pdf,https://iacc.hhs.gov/publications/summary-of-advances/2010/summary_of_advances_2010.pdf,495128,pymupdf (cached),,35,24,,no_heading,11,32,12626,7059,IACC 2010 Summary of Advances in ASD Research,True
SOA-2011,summary-of-advances,SOA,2011,full,False,summary_of_advances_2011.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/summary-of-advances/2011/summary_of_advances_2011.pdf,https://iacc.hhs.gov/publications/summary-of-advances/2011/summary_of_advances_2011.pdf,564850,pymupdf (cached),,35,25,,no_heading,10,31,11684,6848,IACC 2011 Summary of Advances in ASD Research,True
SOA-2012,summary-of-advances,SOA,2012,full,False,summary_of_advances_2012.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/summary-of-advances/2012/summary_of_advances_2012.pdf,https://iacc.hhs.gov/publications/summary-of-advances/2012/summary_of_advances_2012.pdf,997294,pymupdf (cached),,50,35,,no_heading,15,28,14516,8376,IACC 2012 Summary of Advances in ASD Research,True
SOA-2013,summary-of-advances,SOA,2013,full,False,summary_of_advances_2013.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/summary-of-advances/2013/summary_of_advances_2013.pdf,https://iacc.hhs.gov/publications/summary-of-advances/2013/summary_of_advances_2013.pdf,3711023,pymupdf (cached),,52,39,,no_heading,13,36,16572,11615,IACC 2013 Summary of Advances in ASD Research,True
SOA-2014,summary-of-advances,SOA,2014,full,False,summary_of_advances_2014.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/summary-of-advances/2014/summary_of_advances_2014.pdf,https://iacc.hhs.gov/publications/summary-of-advances/2014/summary_of_advances_2014.pdf,5001089,pymupdf (cached),,54,37,,no_heading,17,36,17695,10073,2014 Summary of Advances in Autism Spectrum Disorder Research,True
SOA-2015,summary-of-advances,SOA,2015,full,False,summary_of_advances_2015.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/summary-of-advances/2015/summary_of_advances_2015.pdf,https://iacc.hhs.gov/publications/summary-of-advances/2015/summary_of_advances_2015.pdf,3126336,pymupdf (cached),,58,42,,no_heading,16,43,17775,11080,2015 Summary of Advances in Autism Spectrum Disorder,True
SOA-2016,summary-of-advances,SOA,2016,full,False,summary_of_advances_2016.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/summary-of-advances/2016/summary_of_advances_2016.pdf,https://iacc.hhs.gov/publications/summary-of-advances/2016/summary_of_advances_2016.pdf,2156635,pymupdf (cached),,52,45,,no_heading,7,50,15717,12627,2016 Summary of Advances in Autism Spectrum Disorder Research,True
SOA-2017,summary-of-advances,SOA,2017,full,False,summary_of_advances_2017.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/summary-of-advances/2017/summary_of_advances_2017.pdf,https://iacc.hhs.gov/publications/summary-of-advances/2017/summary_of_advances_2017.pdf,5399885,pymupdf (cached),,54,41,,no_heading,13,38,17262,11799,2017 Summary of Advances in Autism Spectrum Disorder Research,True
SOA-2018,summary-of-advances,SOA,2018,full,False,summary_of_advances_2018.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/summary-of-advances/2018/summary_of_advances_2018.pdf,https://iacc.hhs.gov/publications/summary-of-advances/2018/summary_of_advances_2018.pdf,1624093,pymupdf (cached),,49,37,,no_heading,12,34,15021,10161,2018 Summary of Advances in Autism Spectrum Disorder Research,True
SOA-2019,summary-of-advances,SOA,2019,full,False,summary_of_advances_2019.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/summary-of-advances/2019/summary_of_advances_2019.pdf,https://iacc.hhs.gov/publications/summary-of-advances/2019/summary_of_advances_2019.pdf,1705378,pymupdf (cached),,59,48,,no_heading,11,51,18460,13924,2019 Summary of Advances in Autism Spectrum Disorder Research,True
SOA-2020-ER,summary-of-advances,SOA,2020,easy_read,False,summary_of_advances_2020_easy_read.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/summary-of-advances/2020/summary_of_advances_2020_easy_read.pdf,https://iacc.hhs.gov/publications/summary-of-advances/2020/summary_of_advances_2020_easy_read.pdf?ver=2,425889,pymupdf (cached),,2,2,,too_short,0,0,565,558,2020 Summary of Advances in Autism Research,False
SOA-2020,summary-of-advances,SOA,2020,full,False,summary_of_advances_2020.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/summary-of-advances/2020/summary_of_advances_2020.pdf,https://iacc.hhs.gov/publications/summary-of-advances/2020/summary_of_advances_2020.pdf?ver=2,3379557,pymupdf (cached),,52,40,,no_heading,12,44,14276,9609,2020 Summary of Advances in Autism Research,True
SOA-2021-ER,summary-of-advances,SOA,2021,easy_read,False,summary_of_advances_2021_easy_read.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/summary-of-advances/2021/summary_of_advances_2021_easy_read.pdf,https://iacc.hhs.gov/publications/summary-of-advances/2021/summary_of_advances_2021_easy_read.pdf,166502,pymupdf (cached),,2,2,,too_short,0,0,553,547,2021 Summary of Advances in Autism Research,False
SOA-2021,summary-of-advances,SOA,2021,full,False,summary_of_advances_2021.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/summary-of-advances/2021/summary_of_advances_2021.pdf,https://iacc.hhs.gov/publications/summary-of-advances/2021/summary_of_advances_2021.pdf?ver=2,1316223,pymupdf (cached),,52,41,,no_heading,11,56,15063,10296,2021 Summary of Advances in Autism Research,True
SOA-2022-ER,summary-of-advances,SOA,2022,easy_read,False,summary_of_advances_2022_easy_read.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/summary-of-advances/2022/summary_of_advances_2022_easy_read.pdf,https://iacc.hhs.gov/publications/summary-of-advances/2022/summary_of_advances_2022_easy_read.pdf?ver=3,1543905,pymupdf (cached),,3,3,,too_short,0,0,737,732,2022 Summary of Advances in Autism Research,False
SOA-2022,summary-of-advances,SOA,2022,full,False,summary_of_advances_2022.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/summary-of-advances/2022/summary_of_advances_2022.pdf,https://iacc.hhs.gov/publications/summary-of-advances/2022/summary_of_advances_2022.pdf?ver=4,10816456,pymupdf (cached),,62,50,,no_heading,12,84,16916,11597,IACC 2022 Summary of Advances in Autism Research,True
SOA-2023-ER,summary-of-advances,SOA,2023,easy_read,False,summary_of_advances_2023_easy_read.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/summary-of-advances/2023/summary_of_advances_2023_easy_read.pdf,https://iacc.hhs.gov/publications/summary-of-advances/2023/summary_of_advances_2023_easy_read.pdf,274393,pymupdf (cached),,3,3,,too_short,0,0,629,624,IACC 2023 Summary of Advances in Autism Research At-a-Glance,False
SOA-2023,summary-of-advances,SOA,2023,full,False,summary_of_advances_2023.pdf,/Users/michaelhouse/iacc-linguistic-comparison/iac/IACC_Publications/summary-of-advances/2023/summary_of_advances_2023.pdf,https://iacc.hhs.gov/publications/summary-of-advances/2023/summary_of_advances_2023.pdf?ver=2,1596820,pymupdf (cached),,64,50,,no_heading,14,67,17322,11133,2023 Summary of Advances in Autism Research,True
